event_id,expected_answer_date,meeting_date,approved_date,name,party,mp_area,item_text,flag,topic_area,action,notes
S6W-24457,2024-01-25T00:00:00Z,NA,2024-01-11T16:20:37Z,Sarah Boyack,Scottish Labour,Lothian,To ask the Scottish Government what the anticipated impact of any increase in funding for community eye healthcare will be on patients in (a) Edinburgh and (b) the Lothians.,TRUE,primary_care_other,information,
S6W-24471,2024-01-25T00:00:00Z,NA,2024-01-11T16:20:37Z,Mark Griffin,Scottish Labour,Central Scotland,"To ask the Scottish Government what Scottish caseload and application modelling it anticipates it will receive from the UK Government in the event that the recommendations in the Industrial Injuries Advisory Council report, Review and Update of the Prescription for Prescribed Disease D1 (Pneumoconiosis), are implemented by the UK Government.",TRUE,prescribing,information,
S6W-24439,2024-01-25T00:00:00Z,NA,2024-01-11T16:20:38Z,Foysol Choudhury,Scottish Labour,Lothian,To ask the Scottish Government how much of the funding set out in the NHS Recovery Plan 2021-2026 has been allocated to improving audiology services in the (a) NHS Lothian and (b) West Lothian Council area.,TRUE,waiting_times,information,
S6W-24461,2024-01-25T00:00:00Z,NA,2024-01-11T16:20:38Z,Mark Griffin,Scottish Labour,Central Scotland,"To ask the Scottish Government whether its plans for Employment Injury Assistance include (a) accepting or (b) rejecting the recommendations, as they apply in Scotland, in the Industrial Injuries Advisory Council report, Review and Update of the Prescription for Prescribed Disease D1 (Pneumoconiosis).",TRUE,prescribing,information,
S6W-24460,2024-01-25T00:00:00Z,NA,2024-01-11T16:20:38Z,Mark Griffin,Scottish Labour,Central Scotland,"To ask the Scottish Government whether it will be required to accept any amendments, as they apply in Scotland, to the Social Security (Industrial Injuries) (Prescribed Diseases) Regulations 1985, in accordance with the report, Industrial Injuries Scheme Benefits in Scotland: Agency Agreement, in the event that the UK Government accepts the recommendations in the Industrial Injuries Advisory Council report, Review and Update of the Prescription for Prescribed Disease D1 (Pneumoconiosis), and whether this will require the Scottish Ministers to lay a Scottish statutory instrument in order to do so.",TRUE,prescribing,information,
S6W-24440,2024-01-25T00:00:00Z,NA,2024-01-11T16:20:38Z,Foysol Choudhury,Scottish Labour,Lothian,To ask the Scottish Government how much of the funding set out in the NHS Recovery Plan 2021-2026 has been allocated to improving child and adolescent mental health services (CAMHS) in the (a) NHS Lothian and (b) West Lothian Council area.,TRUE,mhsa,information,
S6W-24459,2024-01-25T00:00:00Z,NA,2024-01-11T16:20:38Z,Mark Griffin,Scottish Labour,Central Scotland,"To ask the Scottish Government what its response is, regarding the impact in Scotland, to the Industrial Injuries Advisory Council report, Review and Update of the Prescription for Prescribed Disease D1 (Pneumoconiosis), and what the potential implications are for Industrial Injuries Disablement Benefit applicants in Scotland.",TRUE,prescribing,information,
S6W-24458,2024-01-25T00:00:00Z,NA,2024-01-11T16:20:38Z,Mark Griffin,Scottish Labour,Central Scotland,"To ask the Scottish Government what information it has on how many people in Scotland (a) are currently in receipt of and (b) have made an application since 1 April 2020 for, Industrial Injuries Disablement Benefit in relation to a diagnosis of the prescribed disease, pneumoconiosis, and, of these, how many would not receive this benefit as new applicants in the event that the recommendations in the Industrial Injuries Advisory Council report, Review and Update of the Prescription for Prescribed Disease D1 (Pneumoconiosis), are implemented by the UK Government.",TRUE,prescribing,information,
S6W-24495,2024-01-26T00:00:00Z,NA,2024-01-12T17:07:01Z,Paul Sweeney,Scottish Labour,Glasgow,"To ask the Scottish Government what support its Wellbeing Economy, Fair Work and Energy directorates are providing for the life sciences sector to increase research into brain tumours.",TRUE,cancer_adult_screening,information,
S6W-24494,2024-01-26T00:00:00Z,NA,2024-01-12T17:07:01Z,Paul Sweeney,Scottish Labour,Glasgow,"To ask the Scottish Government how its NHS Recovery, Health and Social Care directorates decide how to allocate funds for research into specific cancers, such as brain tumours.",TRUE,cancer_adult_screening,information,
S6F-02717,2024-01-18T00:00:00Z,2024-01-18T00:00:00Z,2024-01-15T13:24:34Z,Alexander Stewart,Scottish Conservative and Unionist Party,Mid Scotland and Fife,To ask the First Minister what the Scottish Governments response is to reports that Scotland has among the worst survival rates for some of the most serious cancers.,TRUE,cancer_adult_screening,review,
S6F-02719,2024-01-18T00:00:00Z,2024-01-18T00:00:00Z,2024-01-15T13:24:34Z,Evelyn Tweed,Scottish National Party,Stirling,"To ask the First Minister what steps the Scottish Government is taking to ensure that information on sexually transmitted infections is accessible, in light of STIQ Day, and the reported rising number of cases of sexually transmitted infections in Scotland.",TRUE,cph,information,
S6W-24529,2024-01-29T00:00:00Z,NA,2024-01-15T17:01:25Z,Katy Clark,Scottish Labour,West Scotland,To ask the Scottish Government whether it will provide an update on the timeline for its roll-out of the COVID-19 winter booster vaccination for each (a) age and (b) health category.,TRUE,covid,review,
