event_id,expected_answer_date,meeting_date,approved_date,name,party,mp_area,item_text,flag,topic_area,action,notes
S6W-24551,2024-01-30T00:00:00Z,NA,2024-01-16T17:53:59Z,Jackie Baillie,Scottish Labour,Dumbarton,To ask the Scottish Government what public awareness campaigns it has planned regarding the use of medical associate professions across NHS Scotland.,TRUE,nes_wf,information,
S6W-24543,2024-01-30T00:00:00Z,NA,2024-01-16T17:53:59Z,Ash Regan,Alba Party,Edinburgh Eastern,To ask the Scottish Government what assessment it has carried out regarding any impact that minimum unit pricing has had on the increase in revenue to large retailers who sell alcohol.,TRUE,mup,information,
S6W-24550,2024-01-30T00:00:00Z,NA,2024-01-16T17:53:59Z,Jackie Baillie,Scottish Labour,Dumbarton,To ask the Scottish Government whether any funding for training anaesthesia associates and physician associates is allocated from (a) the NHS Scotland workforce training budget or (b) a separate funding stream.,TRUE,nes_wf,information,
S6W-24547,2024-01-30T00:00:00Z,NA,2024-01-16T17:53:59Z,Ash Regan,Alba Party,Edinburgh Eastern,To ask the Scottish Government whether it will provide an update on when it expects to publish findings from the review into the operation of minimum unit pricing.,TRUE,mup,review,
S6O-03002,NA,2024-01-24T00:00:00Z,2024-01-17T16:19:25Z,Finlay Carson,Scottish Conservative and Unionist Party,Galloway and West Dumfries,To ask the Scottish Government what action it is taking to support and improve the network of community hospitals.,TRUE,quality_indicators,information,
S6O-02999,NA,2024-01-24T00:00:00Z,2024-01-17T16:19:25Z,Brian Whittle,Scottish Conservative and Unionist Party,South Scotland,"To ask the Scottish Government, in light of the announcements made in its Budget, what action it is taking to ensure that well-established community mental health services are appropriately funded.",TRUE,mhsa,information,
S6O-03001,NA,2024-01-24T00:00:00Z,2024-01-17T16:19:25Z,Evelyn Tweed,Scottish National Party,Stirling,To ask the Scottish Government what assessment it has made of the Forth Valley University College NHS Partnership's impact on the delivery of health services in Forth Valley.,TRUE,quality_indicators,information,
S6O-03003,NA,2024-01-24T00:00:00Z,2024-01-17T16:19:25Z,Edward Mountain,Scottish Conservative and Unionist Party,Highlands and Islands,To ask the Scottish Government whether it plans to take any action on any concerns that it may have regarding the 2018 GP contract in relation to rural practices.,TRUE,primary_care_gp,information,This question has also been sent to the NES Workforce team.
S6O-03003,NA,2024-01-24T00:00:00Z,2024-01-17T16:19:25Z,Edward Mountain,Scottish Conservative and Unionist Party,Highlands and Islands,To ask the Scottish Government whether it plans to take any action on any concerns that it may have regarding the 2018 GP contract in relation to rural practices.,TRUE,nes_wf,information,This question has also been sent to the Primary Care team.
S6O-03000,NA,2024-01-24T00:00:00Z,2024-01-17T16:19:25Z,Pam Duncan-Glancy,Scottish Labour,Glasgow,To ask the Scottish Government what action it is taking to support people with diabetes.,TRUE,hsc,information,
S6O-03005,NA,2024-01-24T00:00:00Z,2024-01-17T16:19:26Z,Christine Grahame,Scottish National Party,"Midlothian South, Tweeddale and Lauderdale",To ask the Scottish Government what research it has undertaken on the impact of changing demographics on NHS services.,TRUE,quality_indicators,information,"This question has also been sent to the Primary Care team, the Health and Social Care team, and the Primary Care Out of Hours activity team."
S6O-03005,NA,2024-01-24T00:00:00Z,2024-01-17T16:19:26Z,Christine Grahame,Scottish National Party,"Midlothian South, Tweeddale and Lauderdale",To ask the Scottish Government what research it has undertaken on the impact of changing demographics on NHS services.,TRUE,primary_care_gp,information,"This question has also been sent to the Quality Indicators team, the Health and Social Care team, and the Primary Care Out of Hours activity team."
S6O-03005,NA,2024-01-24T00:00:00Z,2024-01-17T16:19:26Z,Christine Grahame,Scottish National Party,"Midlothian South, Tweeddale and Lauderdale",To ask the Scottish Government what research it has undertaken on the impact of changing demographics on NHS services.,TRUE,hsc,information,"This question has also been sent to the Primary Care team, the Quality Indicators team, and the Primary Care Out of Hours activity team."
S6O-03005,NA,2024-01-24T00:00:00Z,2024-01-17T16:19:26Z,Christine Grahame,Scottish National Party,"Midlothian South, Tweeddale and Lauderdale",To ask the Scottish Government what research it has undertaken on the impact of changing demographics on NHS services.,TRUE,ooh,information,"This question has also been sent to the Primary Care team, the Health and Social Care team, and the Quality Indicators team."
S6W-24560,2024-01-31T00:00:00Z,NA,2024-01-17T17:19:01Z,Sue Webber,Scottish Conservative and Unionist Party,Lothian,"To ask the Scottish Government, in light of the publication of its Scottish Cancer Strategy for Scotland 2023-2026, how much funding has been committed specifically to prehabilitation, and when it will be allocated to NHS boards.",TRUE,cancer_adult_screening,information,
S6W-24562,2024-01-31T00:00:00Z,NA,2024-01-17T17:19:01Z,Sue Webber,Scottish Conservative and Unionist Party,Lothian,"To ask the Scottish Government what assessment it has made regarding whether prehabilitation improves oncological outcomes for patients, in light of its Cancer Action Plan for Scotland 2023-2026, which emphasises the benefits of prehabilitation.",TRUE,cancer_adult_screening,information,
S6W-24559,2024-01-31T00:00:00Z,NA,2024-01-17T17:19:01Z,Sue Webber,Scottish Conservative and Unionist Party,Lothian,"To ask the Scottish Government what is being done to improve access to prehabilitation for less survivable cancers, especially in areas of deprivation.",TRUE,cancer_adult_screening,information,
S6W-24576,2024-01-31T00:00:00Z,NA,2024-01-17T17:19:01Z,Miles Briggs,Scottish Conservative and Unionist Party,Lothian,"To ask the Scottish Government what progress is being made to ensure (a) equity in data availability across cancer types and (b) the frequent publication of emergency presentation data for blood cancers, as outlined in its Cancer Action Plan for Scotland 2023-2026.",TRUE,cancer_adult_screening,information,
S6W-24557,2024-01-31T00:00:00Z,NA,2024-01-17T17:19:01Z,Sue Webber,Scottish Conservative and Unionist Party,Lothian,"To ask the Scottish Government what steps it is taking to ensure that patients who require targeted and specialised prehabilitation, as stated in its report, Key Principles for Implementing Cancer Prehabilitation, are accessing prehabilitation, and what the outcomes are for these patients.",TRUE,cancer_adult_screening,information,
S6W-24561,2024-01-31T00:00:00Z,NA,2024-01-17T17:19:02Z,Sue Webber,Scottish Conservative and Unionist Party,Lothian,"To ask the Scottish Government what plans it has to monitor equity of access to prehabilitation for cancer patients (a) nationally and (b) in comparison to other UK nations, and at what intervals the figures will be published.",TRUE,cancer_adult_screening,information,
S6W-24556,2024-01-31T00:00:00Z,NA,2024-01-17T17:19:02Z,Sue Webber,Scottish Conservative and Unionist Party,Lothian,"To ask the Scottish Government what it is doing to urgently provide equitable access to prehabilitation, especially for patients with a less survivable cancer.",TRUE,cancer_adult_screening,information,
S6O-03013,NA,2024-01-25T00:00:00Z,2024-01-17T16:19:25Z,Sharon Dowey,Scottish Conservative and Unionist Party,South Scotland,To ask the Scottish Government what action it is taking to improve the lives of disabled people.,FALSE,hsc,information,
S6O-02993,NA,2024-01-24T00:00:00Z,2024-01-17T16:19:26Z,Pam Gosal,Scottish Conservative and Unionist Party,West Scotland,To ask the Scottish Government what assessment it has made of the impact of its 2024-25 Budget on rural and island communities.,FALSE,nes_wf,information,
S6O-03004,NA,2024-01-24T00:00:00Z,2024-01-17T16:19:26Z,Mark Ruskell,Scottish Green Party,Mid Scotland and Fife,"To ask the Scottish Government whether it will provide an update on the support that is available for people living with, or affected by, dementia.",FALSE,hsc,information,
S6O-03015,NA,2024-01-25T00:00:00Z,2024-01-17T16:19:30Z,Maggie Chapman,Scottish Green Party,North East Scotland,"To ask the Scottish Government whether it will provide an update on its response to the recent Families Outside report, Staying Connected: Care-experienced children and young people with a sibling in prison or secure care.",FALSE,hsc,information,
S6O-03018,NA,2024-01-25T00:00:00Z,2024-01-17T16:19:30Z,Russell Findlay,Scottish Conservative and Unionist Party,West Scotland,To ask the Scottish Government what its response is to the statistics that it has published on criminal justice social work for 2022-23.,FALSE,justice,information,
