event_id,expected_answer_date,meeting_date,approved_date,name,party,mp_area,item_text,flag,topic_area,action,notes
S6W-24755,2024-02-06T00:00:00Z,NA,2024-01-23T17:41:13Z,Monica Lennon,Scottish Labour,Central Scotland,"To ask the Scottish Government, further to the answer to question S6W-24720 by Jenni Minto on 22 January 2024, whether it can provide information on (a) the names of (i) organisations that and (ii) individuals who are members of the Expert Group on eliminating cervical cancer, (b) whether the Expert Group's membership will comprise of any patients with lived experience, (c) when the group will meet and how often and (d) whether HPV home testing will be part of the group's remit.",TRUE,,,S6W-24720: To ask the Scottish Government what action it is taking to progress towards the World Health Organization (WHO) target to eliminate cervical cancer by 2030.
S6W-24760,2024-02-06T00:00:00Z,NA,2024-01-23T17:41:14Z,Miles Briggs,Scottish Conservative and Unionist Party,Lothian,To ask the Scottish Government what information it holds on how many GP surgeries have been assessed for any presence of reinforced autoclaved aerated concrete to date.,TRUE,,,
S6W-24717,2024-02-06T00:00:00Z,NA,2024-01-23T17:41:15Z,Tess White,Scottish Conservative and Unionist Party,North East Scotland,"To ask the Scottish Government how many times intrauterine devices have been prescribed to prisoners in the female prison estate in each of the last five years, broken down by type of device.",TRUE,,,
S6W-24714,2024-02-06T00:00:00Z,NA,2024-01-23T17:41:15Z,Tess White,Scottish Conservative and Unionist Party,North East Scotland,To ask the Scottish Government how many trans (a) women and (b) men have (i) requested and (ii) undergone gender reassignment surgery while in prison in each of the last five years.,TRUE,,,
S6O-03025,NA,2024-01-31T00:00:00Z,2024-01-24T15:11:22Z,Alex Rowley,Scottish Labour,Mid Scotland and Fife,"To ask the Scottish Government, regarding the potential impact on health and wellbeing of people in Scotland, what action it can take in response to reported calls for free-to-air broadcasting of Scotland's national team football matches.",TRUE,,,
S6O-03030,NA,2024-01-31T00:00:00Z,2024-01-24T15:11:22Z,Russell Findlay,Scottish Conservative and Unionist Party,West Scotland,To ask the Scottish Government what steps it is taking to prevent drugs being smuggled into prisons.,TRUE,,,
S6O-03042,NA,2024-02-01T00:00:00Z,2024-01-24T15:11:22Z,Maggie Chapman,Scottish Green Party,North East Scotland,"To ask the Scottish Government whether it will provide an update on the provision available for children, and those who teach or look after them, who were babies or toddlers during the COVID-19 pandemic and missed out on important socialisation opportunities.",TRUE,,,
S6O-03033,NA,2024-01-31T00:00:00Z,2024-01-24T15:11:23Z,Rhoda Grant,Scottish Labour,Highlands and Islands,To ask the Scottish Government what action is being taken to tackle any police staffing shortages and operational capacity issues in the Highlands and Islands.,TRUE,,,
S6O-03039,NA,2024-02-01T00:00:00Z,2024-01-24T15:11:23Z,Annie Wells,Scottish Conservative and Unionist Party,Glasgow,To ask the Scottish Government what steps it is taking to support staff retention and wellbeing in primary schools in Glasgow.,TRUE,,,
S6O-03050,NA,2024-02-01T00:00:00Z,2024-01-24T15:11:28Z,Michelle Thomson,Scottish National Party,Falkirk East,"To ask the Scottish Government what progress has been made, including through any funding to the National Autism Implementation Team, to help all NHS board areas establish adult neurodevelopmental pathways.",TRUE,,,
