event_id,expected_answer_date,meeting_date,approved_date,name,party,mp_area,item_text,flag,topic_area,action,notes
S6W-26105,2024-03-26T00:00:00Z,NA,2024-03-12T17:39:42Z,Paul Sweeney,Scottish Labour,Glasgow,"To ask the Scottish Government, further to the response by the Cabinet Secretary for Wellbeing Economy, Net Zero and Energy to the question on a competitive shipbuilding financing guarantee programme during the ministerial statement on Ferguson Marine on 5 March 2024, whether it will provide a substantive response regarding whether it will introduce a competitive shipbuilding financing guarantee programme in Scotland, similar to that of the Turkish national investment bank, Türk Eximbank.",TRUE,,,
S6W-26012,2024-03-26T00:00:00Z,NA,2024-03-12T17:39:42Z,Alex Cole-Hamilton,Scottish Liberal Democrats,Edinburgh Western,To ask the Scottish Government whether it will provide an update on the progress of remedial works at the Royal Hospital for Children and Young People in Edinburgh regarding the spacing of cavity barriers.,TRUE,,,
S6W-26112,2024-03-26T00:00:00Z,NA,2024-03-12T17:39:43Z,Evelyn Tweed,Scottish National Party,Stirling,"To ask the Scottish Government what steps it is taking to improve road safety on (a) the A84 and (b) other roads around Stirling, in light of reports of three deaths in a week due to road traffic accidents in the area.",TRUE,,,
S6W-26117,2024-03-26T00:00:00Z,NA,2024-03-12T17:39:45Z,Monica Lennon,Scottish Labour,Central Scotland,To ask the Scottish Government how many dental practices in the NHS Lanarkshire area that provide NHS services have currently closed or suspended their list to new patients.,TRUE,,,
S6W-25557,2024-03-26T00:00:00Z,NA,2024-03-12T17:39:46Z,Ariane Burgess,Scottish Green Party,Highlands and Islands,"To ask the Scottish Government, regarding the licensing conditions for wrasse harvesting and its evidence base for carrying out an appropriate assessment of wrasse fisheries management in special areas of conservation, in which months of the year the gonads of the (a) goldsinny, (b) rock cook, (c) corkwing, (d) ballan and (e) cuckoo species of wrasse (i) are most developed and (ii) spawn.",TRUE,,,
S6W-25559,2024-03-26T00:00:00Z,NA,2024-03-12T17:39:46Z,Ariane Burgess,Scottish Green Party,Highlands and Islands,"To ask the Scottish Government, regarding the licensing conditions for wrasse harvesting and its evidence base for carrying out an appropriate assessment of wrasse fisheries management in special areas of conservation, what the maximum recorded age is for each species of wrasse.",TRUE,,,
S6W-25558,2024-03-26T00:00:00Z,NA,2024-03-12T17:39:47Z,Ariane Burgess,Scottish Green Party,Highlands and Islands,"To ask the Scottish Government, regarding the licensing conditions for wrasse harvesting and its evidence base for carrying out an appropriate assessment of wrasse fisheries management in special areas of conservation, in relation to the (a) goldsinny, (b) rock cook, (c) corkwing, (d) ballan and (e) cuckoo species of wrasse, what length the (i) male and (ii) female fish are on their (A) first, (B) second, (C) third, (D) fourth and (E) subsequent breeding season(s).",TRUE,,,
S6W-26118,2024-03-26T00:00:00Z,NA,2024-03-12T17:39:47Z,Monica Lennon,Scottish Labour,Central Scotland,To ask the Scottish Government how many electric buses are currently in operation in Scotland.,TRUE,,,
S6W-26116,2024-03-26T00:00:00Z,NA,2024-03-12T17:39:47Z,Rhoda Grant,Scottish Labour,Highlands and Islands,To ask the Scottish Government when the peer review of NHS Western Isles patient escort process will be published.,TRUE,,,
S6W-26130,2024-03-26T00:00:00Z,NA,2024-03-12T17:39:48Z,Brian Whittle,Scottish Conservative and Unionist Party,South Scotland,"To ask the Scottish Government what consideration it has given to replicating elements of the onshore wind sector deal, such as maintaining community benefit schemes and community shared ownership agreements as a condition of the sale or transfer, in other renewable technology sectors, such as battery energy storage systems.",TRUE,,,
