event_id,expected_answer_date,meeting_date,approved_date,name,party,mp_area,item_text,flag,topic_area,action,notes
S6W-27639,2024-06-03T00:00:00Z,NA,2024-05-16T16:39:07Z,Ross Greer,Scottish Green Party,West Scotland,To ask the Scottish Government when the next summary report on access to counsellors in secondary schools and children and young people’s community mental health services will be published.,TRUE,,,
S6W-27503,2024-06-03T00:00:00Z,NA,2024-05-16T16:39:08Z,Carol Mochan,Scottish Labour,South Scotland,"To ask the Scottish Government whether it anticipates that all adults who require rehabilitation will have timely access to the right information and services to support them by the end of 2025, as stated in the aims of the Framework for Supporting People through Recovery and Rehabilitation during and after the COVID-19 Pandemic.",TRUE,,,
S6W-27642,2024-06-03T00:00:00Z,NA,2024-05-16T16:39:08Z,Liam Kerr,Scottish Conservative and Unionist Party,North East Scotland,To ask the Scottish Government what data it has on the (a) uptake and (b) outcomes of support from the Mode Shift Revenue Support scheme in each year of its operation.,TRUE,,,
S6W-27615,2024-06-03T00:00:00Z,NA,2024-05-16T16:39:09Z,Paul Sweeney,Scottish Labour,Glasgow,"To ask the Scottish Government what its response is to reported figures from the Organisation for Economic Co-operation and Development (OECD) stating that companies in China receive nine times more government support, such as subsidies and tax breaks, than their counterparts in OECD countries such as the UK, and what measures it will take to improve such support for companies in Scotland.",TRUE,,,
S6W-27644,2024-06-03T00:00:00Z,NA,2024-05-16T16:39:09Z,Liam Kerr,Scottish Conservative and Unionist Party,North East Scotland,"To ask the Scottish Government what its position is on (a) what the outcomes were of the Lifting the Spirit trial at Elgin in 2013 and (b) whether it was operationally successful, and what it did to build on that trial.",TRUE,,,
S6W-27622,2024-06-03T00:00:00Z,NA,2024-05-16T16:39:10Z,Foysol Choudhury,Scottish Labour,Lothian,"To ask the Scottish Government what medical advice it had received, regarding any risks of blood clots, prior to its decision to suspend the use of the AstraZeneca COVID-19 vaccine for under-30s in April 2021.",TRUE,,,
S6W-27621,2024-06-03T00:00:00Z,NA,2024-05-16T16:39:10Z,Fulton MacGregor,Scottish National Party,Coatbridge and Chryston,"To ask the Scottish Government whether it will provide an update on its plans to reform legislation on adults with incapacity, as recommended by the Scottish mental health law review.",TRUE,,,
S6W-27634,2024-06-03T00:00:00Z,NA,2024-05-16T16:39:11Z,Alexander Burnett,Scottish Conservative and Unionist Party,Aberdeenshire West,"To ask the Scottish Government whether there is currently a shortage of Humalog insulin medications in Scotland, and what information it holds on whether any patients who require Humalog insulin have been (a) told to reduce their dosage and (b) denied this medication.",TRUE,,,
S6W-27697,2024-06-04T00:00:00Z,NA,2024-05-17T10:02:37Z,Joe FitzPatrick,Scottish National Party,Dundee City West,"To ask the Scottish Government whether it will provide an update on its plans to respond to the final report of the UK-wide Infected Blood Inquiry, which was published on 20 May 2024.",TRUE,,,
S6W-27662,2024-06-04T00:00:00Z,NA,2024-05-17T16:29:44Z,Liam Kerr,Scottish Conservative and Unionist Party,North East Scotland,"To ask the Scottish Government what the current size of the ScotRail Class 43 fleet is; how many are required to be operational on a normal working day; how many are operational on average on any given day; how any shortfalls are covered; whether diesel multiple units (DMUs) are substituted in from other services, and what impact such action has on those other scheduled services.",TRUE,,,
S6F-03166,2024-05-23T00:00:00Z,2024-05-23T00:00:00Z,2024-05-20T14:16:34Z,Tess White,Scottish Conservative and Unionist Party,North East Scotland,"To ask the First Minister what the Scottish Government's response is to reports that no NHS board has implemented placental growth factor-based testing for pre-eclampsia, in light of it having been recommended in March 2023 by the Scottish Health Technologies Group.",TRUE,,,
S6W-27702,2024-06-05T00:00:00Z,NA,2024-05-20T17:29:59Z,Monica Lennon,Scottish Labour,Central Scotland,"To ask the Scottish Government what engagement it has had with alcohol and drug partnerships regarding the proposed early release of prisoners, in light of the statement by the Cabinet Secretary for Justice and Home Affairs on 16 May 2024.",TRUE,,,
S6W-27692,2024-06-05T00:00:00Z,NA,2024-05-20T17:29:59Z,Alexander Burnett,Scottish Conservative and Unionist Party,Aberdeenshire West,"To ask the Scottish Government what information it holds on what the current waiting times are for hearing aids, broken down by NHS board.",TRUE,,,
S6W-27693,2024-06-05T00:00:00Z,NA,2024-05-20T17:29:59Z,Alexander Burnett,Scottish Conservative and Unionist Party,Aberdeenshire West,To ask the Scottish Government how much funding it provides to each NHS board for audiology services.,TRUE,,,
S6W-27506,2024-06-05T00:00:00Z,NA,2024-05-20T17:29:59Z,Carol Mochan,Scottish Labour,South Scotland,"To ask the Scottish Government what its position is on whether the resources that are given to local rehabilitation services are adequate to ensure that all adults can access the appropriate support as close to their local areas as possible, as set out in the Framework for Supporting People through Recovery and Rehabilitation during and after the COVID-19 Pandemic.",TRUE,,,
S6W-27505,2024-06-05T00:00:00Z,NA,2024-05-20T17:30:00Z,Carol Mochan,Scottish Labour,South Scotland,"To ask the Scottish Government which social determinants it prioritises to ensure that any health inequalities are tackled in rehabilitation service provision, as set out in the Framework for Supporting People through Recovery and Rehabilitation during and after the COVID-19 Pandemic.",TRUE,,,
